title,channelTitle,viewCount,publishedAt,videoUrl,videoId,category
BUILDING MY OWN CAR IN DESERT,Techno Gamerz Techno Gamerz,2.1M views,12 hours ago,https://www.youtube.com/watch?v=8fkIXWhFi6U,8fkIXWhFi6U,nan
RJ Saurabh || Make Joke Of || MJO || Saurabh Shukla,Make Joke Of Make Joke Of,1.1M views,1 day ago,https://www.youtube.com/watch?v=pZjcskYdO3M,pZjcskYdO3M,nan
GENDER REVEAL VLOG 😍,Mr & Mrs Choudhary Mr & Mrs Choudhary,1.1M views,11 hours ago,https://www.youtube.com/watch?v=Ud6o69YjK4g,Ud6o69YjK4g,nan
LAAL PARI (Song): Yo Yo Honey Singh | Sajid Nadiadwala | Tarun Mansukhani | Housefull 5 - 6th June,T-Series T-Series,37M views,4 days ago,https://www.youtube.com/watch?v=KGn-erOG-Bs,KGn-erOG-Bs,nan
I Fulfilled 7 Wishes of 7 Families😍,Fukra Insaan Fukra Insaan,3.4M views,3 days ago,https://www.youtube.com/watch?v=z04v92D81XI,z04v92D81XI,nan
Squid Game: Season 3 | Official Teaser | Netflix,Netflix Netflix Verified,9.3M views,1 day ago,https://www.youtube.com/watch?v=Lb6v6AUFWrM,Lb6v6AUFWrM,nan
NEET 2025 - LIVE PAPER DISCUSSION🔥,Competition Wallah Competition Wallah Verified,3M views,Streamed 2 days ago,https://www.youtube.com/watch?v=nXPX15FPfsE,nXPX15FPfsE,nan
Saying YES to Ruchika for 24 HOURS,Triggered Insaan Triggered Insaan Verified,6.9M views,4 days ago,https://www.youtube.com/watch?v=bI3_3PX6PjQ,bI3_3PX6PjQ,nan
NEET 2025 PAPER TOUGH - Life Barbad? Family Pressure? Depression? || Let's Talk,Physics Wallah - Alakh Pandey Physics Wallah - Alakh Pandey Verified,2M views,Streamed 2 days ago,https://www.youtube.com/watch?v=sqdwl8nfUXA,sqdwl8nfUXA,nan
I Cheated in a TUNG TUNG SAHUR MOB BATTLE in Minecraft!!,Mc flame Mc flame Verified,566K views,2 days ago,https://www.youtube.com/watch?v=FtJ2thF-6kk,FtJ2thF-6kk,nan
शाम है धुआं धुआं Shaam Hai Dhuan Dhuan | Khesari Lal Yadav New Bhojpuri Song 2025 | T-Series,T-Series Hamaar Bhojpuri T-Series Hamaar Bhojpuri Verified,11M views,4 days ago,https://www.youtube.com/watch?v=BOlL5T2cbb8,BOlL5T2cbb8,nan
Bhool Chuk Maaf | Bonus Trailer | Rajkummar R | Wamiqa G | Dinesh V | Karan S | 9th May 2025,Maddock Films Maddock Films Verified,3.5M views,2 days ago,https://www.youtube.com/watch?v=8XuRLVBaKus,8XuRLVBaKus,nan
Mere Room Mein 2 Bed 😲 Kyu Laga Diye ?,Sourav Joshi Vlogs Sourav Joshi Vlogs Verified,2.8M views,14 hours ago,https://www.youtube.com/watch?v=q2Mxvk3JxoQ,q2Mxvk3JxoQ,nan
BroCode Roast Ft. @raviguptacomedy | S2. Ep1,Aashish Solanki Aashish Solanki Verified,5.5M views,4 days ago,https://www.youtube.com/watch?v=9dX4h77PQV8,9dX4h77PQV8,nan
I CREATED A TIME MACHINE IN MINECRAFT!,ProBoiz 95 ProBoiz 95 Verified,2.1M views,3 days ago,https://www.youtube.com/watch?v=haSjLEoSlzM,haSjLEoSlzM,nan
"पटना हॉस्टल इन पुणे - रातों-रात वायरल | EP5 ft. Abhinav Anand, Anandeshwar Dwivedi | TSP",The Screen Patti The Screen Patti Verified,219K views,1 day ago,https://www.youtube.com/watch?v=BSk6ezwfl-0,BSk6ezwfl-0,nan
"Panchayat Season 4 - Official Teaser | Jitendra Kumar, Neena Gupta, Raghubir Yadav | Prime Video IN",Prime Video India Prime Video India Verified,4.7M views,4 days ago,https://www.youtube.com/watch?v=URBN7HNf7T4,URBN7HNf7T4,nan
